Jurisdiction,State,Year,Election.Date,Office,Winner,Party
San Francisco,CA,2015,11/3/15,Mayor,Ed Lee,Democratic
San Francisco,CA,2015,11/3/15,Sheriff,Vicki Hennessy,Nonpartisan election
San Francisco,CA,2015,11/3/15,Treasurer,Jose Cisneros,Democratic
St. Paul,MN,2015,11/3/15,City Council Ward 1,Dai Thao,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 2,Rebecca Noecker,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 3,Chris Tolbert,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 4,Russ Stark,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 5,Amy Brendmoen,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 6,Dan Bostrom,Nonpartisan election
St. Paul,MN,2015,11/3/15,City Council Ward 7,Jane Prince,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 1,Peter Kovar,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 2,TiMMale,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 3,Rizzy Qureshi,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 4,Terry J. Seamens,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 5,Jarrett Smith,Nonpartisan election
Takoma Park,MD,2015,11/3/15,City Council Ward 6,Fred Schultz,Nonpartisan election
Takoma Park,MD,2015,11/3/15,Mayor,Kate Stewart,Nonpartisan election
Telluride,CO,2015,11/3/15,Mayor,Sean Murphy,Nonpartisan election
Berkeley,CA,2014,11/4/14,City Auditor,Ann-Marie Hogan,Nonpartisan election
Berkeley,CA,2014,11/4/14,City Council District 1,Linda Maio,Nonpartisan election
Berkeley,CA,2014,11/4/14,City Council District 4,Jesse Arreguin,Nonpartisan election
Berkeley,CA,2014,11/4/14,City Council District 7,Kriss Worthington,Nonpartisan election
Berkeley,CA,2014,11/4/14,City Council District 8,Lori Droste,Nonpartisan election
Oakland,CA,2014,11/4/14,City Auditor,Brenda Roberts,Nonpartisan election
Oakland,CA,2014,11/4/14,City Council District 2,Abel Guillen,Nonpartisan election
Oakland,CA,2014,11/4/14,City Council District 4,Annie Campbell Washington,Nonpartisan election
Oakland,CA,2014,11/4/14,City Council District 6,Desley Brooks,Nonpartisan election
Oakland,CA,2014,11/4/14,Mayor,Libby Schaaf,Nonpartisan election
Oakland,CA,2014,11/4/14,School Director District 2,Aimee Eng,Nonpartisan election
Oakland,CA,2014,11/4/14,School Director District 4,Nina Senn,Nonpartisan election
Oakland,CA,2014,11/4/14,School Director District 6,Shanthi Gonzales,Nonpartisan election
San Francisco,CA,2014,11/4/14,Assessor-Recorder,Carmen Chu,Democratic
San Francisco,CA,2014,11/4/14,Board of Supervisors District 10,Malia Cohen,Democratic
San Francisco,CA,2014,11/4/14,Board of Supervisors District 2,Mark Farrell,Democratic
San Francisco,CA,2014,11/4/14,Board of Supervisors District 4,Katy Tang,Democratic
San Francisco,CA,2014,11/4/14,Board of Supervisors District 6,Jane Kim,Democratic
San Francisco,CA,2014,11/4/14,Board of Supervisors District 8,Scott Wiener,Democratic
San Francisco,CA,2014,11/4/14,Public Defender,Jeff Adachi,Democratic
San Leandro,CA,2014,11/4/14,County Council District 1,Deborah Cox,Nonpartisan election
San Leandro,CA,2014,11/4/14,County Council District 3,Lee Thomas,Nonpartisan election
San Leandro,CA,2014,11/4/14,County Council District 5,Corina Lopez,Nonpartisan election
San Leandro,CA,2014,11/4/14,Mayor,Pauline Russo Cutter,Nonpartisan election
Takoma Park,MD,2014,4/8/14,City Council Ward 3,Kate Stewart,Nonpartisan election
Minneapolis,MN,2013,11/5/13,City Council Ward 1,Kevin Reich,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 10,Lisa Bender,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 11,John Quincy,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 12,Andrew Johnson,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 13,Linea Palmisano,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 2,CaMGordon,Green
Minneapolis,MN,2013,11/5/13,City Council Ward 3,Jacob Frey,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 4,"Barbara A. ""Barb"" Johnson",Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 5,Blong Yang,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 6,Abdi Warsame,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 7,Lisa Goodman,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 8,Elizabeth Glidden,Democratic
Minneapolis,MN,2013,11/5/13,City Council Ward 9,Alondra Cano,Democratic
Minneapolis,MN,2013,11/5/13,Mayor,Betsy Hodges,Democratic
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 1,Liz Wielinski,Nonpartisan election
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 2,Jon Olson,Nonpartisan election
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 3,Scott Vreeland,Nonpartisan election
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 4,Anita Tabb,Nonpartisan election
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 5,Steffanie Musich,Nonpartisan election
Minneapolis,MN,2013,11/5/13,Park and Recreation Board District 6,Brad Bourn,Nonpartisan election
San Francisco,CA,2013,11/5/13,Assessor-Recorder,Carmen Chu,Democratic
San Francisco,CA,2013,11/5/13,Board of Supervisors District 4,Katy Tang,Democratic
San Francisco,CA,2013,11/5/13,City Attorney,Dennis Herrera,Democratic
San Francisco,CA,2013,11/5/13,Treasurer,Jose Cisneros,Democratic
St. Paul,MN,2013,11/5/13,City Council Ward 1,Dai Thao,Nonpartisan election
St. Paul,MN,2013,11/5/13,Mayor,Chris Coleman,Democratic
Takoma Park,MD,2013,11/5/13,City Council Ward 1,Seth Grimes,Nonpartisan election
Takoma Park,MD,2013,11/5/13,City Council Ward 2,TiMMale,Nonpartisan election
Takoma Park,MD,2013,11/5/13,City Council Ward 3,Kay Daniels-Cohen,Nonpartisan election
Takoma Park,MD,2013,11/5/13,City Council Ward 4,Terry J. Seamens,Nonpartisan election
Takoma Park,MD,2013,11/5/13,City Council Ward 5,Jarrett Smith,Nonpartisan election
Takoma Park,MD,2013,11/5/13,City Council Ward 6,Fred Schultz,Nonpartisan election
Takoma Park,MD,2013,11/5/13,Mayor,Bruce R. Williams,Nonpartisan election
Berkeley,CA,2012,11/6/12,City Council District 2,Darryl Moore,Nonpartisan election
Berkeley,CA,2012,11/6/12,City Council District 3,Max Anderson,Nonpartisan election
Berkeley,CA,2012,11/6/12,City Council District 5,Laurie Capitelli,Nonpartisan election
Berkeley,CA,2012,11/6/12,City Council District 6,Susan Wengraf,Nonpartisan election
Berkeley,CA,2012,11/6/12,Mayor,ToMBates,Nonpartisan election
Oakland,CA,2012,11/6/12,City Attorney,Barbara J. Parker,Democratic
Oakland,CA,2012,11/6/12,City Council AL,Rebecca Kaplan,Democratic
Oakland,CA,2012,11/6/12,City Council District 1,Dan Kalb,Democratic
Oakland,CA,2012,11/6/12,City Council District 3,Lynette Gibson-McElhaney,Democratic
Oakland,CA,2012,11/6/12,City Council District 5,Noel Gallo,Democratic
Oakland,CA,2012,11/6/12,City Council District 7,Larry E. Reid,Democratic
Oakland,CA,2012,11/6/12,School Director District 1,Jody London,Nonpartisan election
Oakland,CA,2012,11/6/12,School Director District 3,Jumoke Hinton Hodge,Nonpartisan election
Oakland,CA,2012,11/6/12,School Director District 5,Rosie Torres,Nonpartisan election
Oakland,CA,2012,11/6/12,School Director District 7,James Harris,Nonpartisan election
San Francisco,CA,2012,11/6/12,Board of Supervisors District 1,Eric Mar,Democratic
San Francisco,CA,2012,11/6/12,Board of Supervisors District 11,John Avalos,Democratic
San Francisco,CA,2012,11/6/12,Board of Supervisors District 3,David Chiu,Democratic
San Francisco,CA,2012,11/6/12,Board of Supervisors District 5,London Breed,Democratic
San Francisco,CA,2012,11/6/12,Board of Supervisors District 7,Norman Yee,Democratic
San Francisco,CA,2012,11/6/12,Board of Supervisors District 9,David Campos,Democratic
San Leandro,CA,2012,11/6/12,County Council District 2,Ursula Reed,Nonpartisan election
San Leandro,CA,2012,11/6/12,County Council District 4,Benny Lee,Nonpartisan election
San Leandro,CA,2012,11/6/12,County Council District 6,JiMProla,Nonpartisan election
Takoma Park,MD,2012,7/17/12,City Council Ward 5,Jarrett Smith,Nonpartisan election
Portland,ME,2011,11/8/11,Mayor,Michael Brennan,Democratic
San Francisco,CA,2011,11/8/11,District Attorney,George Gascon,Democratic
San Francisco,CA,2011,11/8/11,Mayor,Ed Lee,Democratic
San Francisco,CA,2011,11/8/11,Sheriff,Ross Mirkarmi,Democratic
St. Paul,MN,2011,11/8/11,City Council Ward 1,Melvin Carter,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 2,Dave Thune,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 3,Chris Tolbert,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 4,Russ Stark,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 5,Amy Brendmoen,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 6,Dan Bostrom,Nonpartisan election
St. Paul,MN,2011,11/8/11,City Council Ward 7,Kathy Lantry,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 1,Seth Grimes,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 2,TiMMale,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 3,Kay Daniels-Cohen,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 4,Terry J. Seamens,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 5,Reuben Snipper,Nonpartisan election
Takoma Park,MD,2011,11/8/11,City Council Ward 6,Fred Schultz,Nonpartisan election
Takoma Park,MD,2011,11/8/11,Mayor,Bruce R. Williams,Nonpartisan election
Telluride,CO,2011,11/8/11,Mayor,Stu Fraser,Nonpartisan election
Berkeley,CA,2010,11/2/10,City Auditor,Ann-Marie Hogan,Nonpartisan election
Berkeley,CA,2010,11/2/10,City Council District 1,Linda Maio,Nonpartisan election
Berkeley,CA,2010,11/2/10,City Council District 4,Jesse Arreguin,Nonpartisan election
Berkeley,CA,2010,11/2/10,City Council District 7,Kriss Worthington,Nonpartisan election
Berkeley,CA,2010,11/2/10,City Council District 8,Gordon Wozniak,Nonpartisan election
North Carolina,NC,2010,11/2/10,Court of Appeals Judge,Doug McCullough,Republican
North Carolina,NC,2010,11/2/10,"Superior Court Judge, District 12A",Claire Hill,Democratic
North Carolina,NC,2010,11/2/10,"Superior Court Judge, District 19C",Anna Mills Wagoner,Republican
North Carolina,NC,2010,11/2/10,"Superior Court Judge, District 28",Marvin Pope,Democratic
Oakland,CA,2010,11/2/10,City Auditor,Courtney Ruby,Nonpartisan election
Oakland,CA,2010,11/2/10,City Council District 2,Patricia Kernighan,Nonpartisan election
Oakland,CA,2010,11/2/10,City Council District 4,Libby Schaaf,Nonpartisan election
Oakland,CA,2010,11/2/10,City Council District 6,Desley Brooks,Nonpartisan election
Oakland,CA,2010,11/2/10,Mayor,Jean Quan,Nonpartisan election
Oakland,CA,2010,11/2/10,School Director District 2,David Kakishiba,Nonpartisan election
Oakland,CA,2010,11/2/10,School Director District 4,Gary D. Yee,Nonpartisan election
Oakland,CA,2010,11/2/10,School Director District 6,Christopher Dobbins,Nonpartisan election
San Francisco,CA,2010,11/2/10,Assessor-Recorder,Phil Ting,Democratic
San Francisco,CA,2010,11/2/10,Board of Supervisors District 10,Malia Cohen,Democratic
San Francisco,CA,2010,11/2/10,Board of Supervisors District 2,Mark E. Farrell,Democratic
San Francisco,CA,2010,11/2/10,Board of Supervisors District 4,Carmen Chu,Democratic
San Francisco,CA,2010,11/2/10,Board of Supervisors District 6,Jane Kim,Democratic
San Francisco,CA,2010,11/2/10,Board of Supervisors District 8,Scott Wiener,Democratic
San Francisco,CA,2010,11/2/10,Public Defender,Jeff Adachi,Democratic
San Leandro,CA,2010,11/2/10,County Council District 1,Michael J. Gregory,Nonpartisan election
San Leandro,CA,2010,11/2/10,County Council District 3,Diana Souza,Nonpartisan election
San Leandro,CA,2010,11/2/10,County Council District 5,Pauline Russo Cutter,Nonpartisan election
San Leandro,CA,2010,11/2/10,Mayor,Stephen H. Cassidy,Nonpartisan election
Aspen,CO,2009,5/5/09,Mayor,Mick Ireland,Nonpartisan election
Burlington,VT,2009,3/3/09,Mayor,Bob Kiss,Progressive
Hendersonville,NC,2009,10/6/09,Mayor,Barbara Volk,Nonpartisan election
Minneapolis,MN,2009,11/6/09,City Council Ward 1,Kevin Reich,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 10,Meg Tuthill,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 11,John Quincy,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 12,Sandy Colvin Roy,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 13,Betsy Hodges,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 2,CaMGordon,Green
Minneapolis,MN,2009,11/6/09,City Council Ward 3,Diane Hofstede,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 4,"Barbara A. ""Barb"" Johnson",Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 5,Don Samuels,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 6,Robert Lilligren,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 7,Lisa Goodman,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 8,Elizabeth Glidden,Democratic
Minneapolis,MN,2009,11/6/09,City Council Ward 9,Gary Schiff,Democratic
Minneapolis,MN,2009,11/6/09,Mayor,R.T. Rybak,Democratic
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 1,Liz Wielinski,Nonpartisan election
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 2,Jon Olson,Nonpartisan election
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 3,Scott Vreeland,Nonpartisan election
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 4,Anita Tabb,Nonpartisan election
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 5,Carol Kummer,Nonpartisan election
Minneapolis,MN,2009,11/6/09,Park and Recreation Board District 6,Brad Bourn,Nonpartisan election
Pierce County,WA,2009,11/3/09,County Auditor,Julie Anderson,Nonpartisan election
San Francisco,CA,2009,11/3/09,City Attorney,Dennis Herrera,Democratic
San Francisco,CA,2009,11/3/09,Treasurer,Jose Cisneros,Democratic
Takoma Park,MD,2009,11/2/09,City Council Ward 1,Josh Wright,Nonpartisan election
Takoma Park,MD,2009,11/2/09,City Council Ward 2,Colleen Clay,Nonpartisan election
Takoma Park,MD,2009,11/2/09,City Council Ward 3,Dan Robinson,Nonpartisan election
Takoma Park,MD,2009,11/2/09,City Council Ward 4,Terry J. Seamens,Nonpartisan election
Takoma Park,MD,2009,11/2/09,City Council Ward 5,Reuben Snipper,Nonpartisan election
Takoma Park,MD,2009,11/2/09,City Council Ward 6,Fred Schultz,Nonpartisan election
Takoma Park,MD,2009,11/2/09,Mayor,Bruce R. Williams,Nonpartisan election
Pierce County,WA,2008,11/4/08,County Assessor-Treasurer,Dale Washam,Nonpartisan election
Pierce County,WA,2008,11/4/08,County Council District 2,Joyce McDonald,Republican
Pierce County,WA,2008,11/4/08,County Council District 3,Roger Bush,Republican
Pierce County,WA,2008,11/4/08,County Council District 4,Timothy M. Farrell,Democratic
Pierce County,WA,2008,11/4/08,County Council District 6,Richard Muri,Republican
Pierce County,WA,2008,11/4/08,County Executive Member,Pat McCarthy,Democratic
Pierce County,WA,2008,11/4/08,County Sheriff,Paul Pastor,Nonpartisan election
San Francisco,CA,2008,11/4/08,Board of Supervisors District 1,Eric Mar,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 11,John Avalos,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 3,David Chiu,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 4,Carmen Chu,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 5,Ross Mirkarimi,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 7,Sean R Elsbernd,Democratic
San Francisco,CA,2008,11/4/08,Board of Supervisors District 9,David Campos,Democratic
Cary,NC,2007,10/9/07,City Council District B,Don Frantz,Nonpartisan election
San Francisco,CA,2007,11/6/07,District Attorney,Kamala Harris,Democratic
San Francisco,CA,2007,11/6/07,Mayor,Gavin Newsom,Democratic
San Francisco,CA,2007,11/6/07,Sheriff,Michael Hennessey,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 1,Josh Wright,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 2,Colleen Clay,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 3,Dan Robinson,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 4,Terry J. Seamens,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 5,Reuben Snipper,Nonpartisan election
Takoma Park,MD,2007,1/30/07,City Council Ward 5 special,Reuben Snipper,Nonpartisan election
Takoma Park,MD,2007,11/6/07,City Council Ward 6,Doug Barry,Nonpartisan election
Takoma Park,MD,2007,11/6/07,Mayor,Bruce R. Williams,Nonpartisan election
Burlington,VT,2006,3/7/06,Mayor,Bob Kiss,Progressive
San Francisco,CA,2006,11/7/06,Assessor-Recorder,Phil Ting,Democratic
San Francisco,CA,2006,11/7/06,Board of Supervisors District 10,Sophie Maxwell,Democratic
San Francisco,CA,2006,11/7/06,Board of Supervisors District 2,Michela Alioto-Pier,Democratic
San Francisco,CA,2006,11/7/06,Board of Supervisors District 4,Ed Jew,Democratic
San Francisco,CA,2006,11/7/06,Board of Supervisors District 6,Chris Daly,Democratic
San Francisco,CA,2006,11/7/06,Board of Supervisors District 8,Bevan Dufty,Democratic
San Francisco,CA,2006,11/7/06,Public Defender,Jeff Adachi,Democratic
San Francisco,CA,2005,11/8/05,Assessor-Recorder,Phil Ting,Democratic
San Francisco,CA,2005,11/8/05,City Attorney,Dennis Herrera,Democratic
San Francisco,CA,2005,11/8/05,Treasurer,Jose Cisneros,Democratic
San Francisco,CA,2004,11/5/04,Board of Supervisors District 1,Jake McGoldrick,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 11,Gerardo Sandoval,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 2,Michela Alioto-Pier,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 3,Aaron Peskin,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 5,Ross Mirkarimi,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 7,Sean R Elsbernd,Democratic
San Francisco,CA,2004,11/2/04,Board of Supervisors District 9,Tom Ammiano,Democratic
